combinacion;num1;num2;num3;num4;num_contained
0159;0;1;5;9;1
0195;0;1;9;5;1
0519;0;5;1;9;1
0591;0;5;9;1;1
0915;0;9;1;5;1
0951;0;9;5;1;1
1059;1;0;5;9;1
1095;1;0;9;5;1
1509;1;5;0;9;1
1590;1;5;9;0;1
1905;1;9;0;5;1
1950;1;9;5;0;1
5019;5;0;1;9;1
5091;5;0;9;1;1
5109;5;1;0;9;1
5190;5;1;9;0;1
5901;5;9;0;1;1
5910;5;9;1;0;1
9015;9;0;1;5;1
9051;9;0;5;1;1
9105;9;1;0;5;1
9150;9;1;5;0;1
9501;9;5;0;1;1
9510;9;5;1;0;1
0169;0;1;6;9;1
0196;0;1;9;6;1
0619;0;6;1;9;1
0691;0;6;9;1;1
0916;0;9;1;6;1
0961;0;9;6;1;1
1069;1;0;6;9;1
1096;1;0;9;6;1
1609;1;6;0;9;1
1690;1;6;9;0;1
1906;1;9;0;6;1
1960;1;9;6;0;1
6019;6;0;1;9;1
6091;6;0;9;1;1
6109;6;1;0;9;1
6190;6;1;9;0;1
6901;6;9;0;1;1
6910;6;9;1;0;1
9016;9;0;1;6;1
9061;9;0;6;1;1
9106;9;1;0;6;1
9160;9;1;6;0;1
9601;9;6;0;1;1
9610;9;6;1;0;1
0179;0;1;7;9;1
0197;0;1;9;7;1
0719;0;7;1;9;1
0791;0;7;9;1;1
0917;0;9;1;7;1
0971;0;9;7;1;1
1079;1;0;7;9;1
1097;1;0;9;7;1
1709;1;7;0;9;1
1790;1;7;9;0;1
1907;1;9;0;7;1
1970;1;9;7;0;1
7019;7;0;1;9;1
7091;7;0;9;1;1
7109;7;1;0;9;1
7190;7;1;9;0;1
7901;7;9;0;1;1
7910;7;9;1;0;1
9017;9;0;1;7;1
9071;9;0;7;1;1
9107;9;1;0;7;1
9170;9;1;7;0;1
9701;9;7;0;1;1
9710;9;7;1;0;1
0189;0;1;8;9;1
0198;0;1;9;8;1
0819;0;8;1;9;1
0891;0;8;9;1;1
0918;0;9;1;8;1
0981;0;9;8;1;1
1089;1;0;8;9;1
1098;1;0;9;8;1
1809;1;8;0;9;1
1890;1;8;9;0;1
1908;1;9;0;8;1
1980;1;9;8;0;1
8019;8;0;1;9;1
8091;8;0;9;1;1
8109;8;1;0;9;1
8190;8;1;9;0;1
8901;8;9;0;1;1
8910;8;9;1;0;1
9018;9;0;1;8;1
9081;9;0;8;1;1
9108;9;1;0;8;1
9180;9;1;8;0;1
9801;9;8;0;1;1
9810;9;8;1;0;1
0259;0;2;5;9;1
0295;0;2;9;5;1
0529;0;5;2;9;1
0592;0;5;9;2;1
0925;0;9;2;5;1
0952;0;9;5;2;1
2059;2;0;5;9;1
2095;2;0;9;5;1
2509;2;5;0;9;1
2590;2;5;9;0;1
2905;2;9;0;5;1
2950;2;9;5;0;1
5029;5;0;2;9;1
5092;5;0;9;2;1
5209;5;2;0;9;1
5290;5;2;9;0;1
5902;5;9;0;2;1
5920;5;9;2;0;1
9025;9;0;2;5;1
9052;9;0;5;2;1
9205;9;2;0;5;1
9250;9;2;5;0;1
9502;9;5;0;2;1
9520;9;5;2;0;1
0269;0;2;6;9;1
0296;0;2;9;6;1
0629;0;6;2;9;1
0692;0;6;9;2;1
0926;0;9;2;6;1
0962;0;9;6;2;1
2069;2;0;6;9;1
2096;2;0;9;6;1
2609;2;6;0;9;1
2690;2;6;9;0;1
2906;2;9;0;6;1
2960;2;9;6;0;1
6029;6;0;2;9;1
6092;6;0;9;2;1
6209;6;2;0;9;1
6290;6;2;9;0;1
6902;6;9;0;2;1
6920;6;9;2;0;1
9026;9;0;2;6;1
9062;9;0;6;2;1
9206;9;2;0;6;1
9260;9;2;6;0;1
9602;9;6;0;2;1
9620;9;6;2;0;1
0279;0;2;7;9;1
0297;0;2;9;7;1
0729;0;7;2;9;1
0792;0;7;9;2;1
0927;0;9;2;7;1
0972;0;9;7;2;1
2079;2;0;7;9;1
2097;2;0;9;7;1
2709;2;7;0;9;1
2790;2;7;9;0;1
2907;2;9;0;7;1
2970;2;9;7;0;1
7029;7;0;2;9;1
7092;7;0;9;2;1
7209;7;2;0;9;1
7290;7;2;9;0;1
7902;7;9;0;2;1
7920;7;9;2;0;1
9027;9;0;2;7;1
9072;9;0;7;2;1
9207;9;2;0;7;1
9270;9;2;7;0;1
9702;9;7;0;2;1
9720;9;7;2;0;1
0289;0;2;8;9;1
0298;0;2;9;8;1
0829;0;8;2;9;1
0892;0;8;9;2;1
0928;0;9;2;8;1
0982;0;9;8;2;1
2089;2;0;8;9;1
2098;2;0;9;8;1
2809;2;8;0;9;1
2890;2;8;9;0;1
2908;2;9;0;8;1
2980;2;9;8;0;1
8029;8;0;2;9;1
8092;8;0;9;2;1
8209;8;2;0;9;1
8290;8;2;9;0;1
8902;8;9;0;2;1
8920;8;9;2;0;1
9028;9;0;2;8;1
9082;9;0;8;2;1
9208;9;2;0;8;1
9280;9;2;8;0;1
9802;9;8;0;2;1
9820;9;8;2;0;1
0359;0;3;5;9;1
0395;0;3;9;5;1
0539;0;5;3;9;1
0593;0;5;9;3;1
0935;0;9;3;5;1
0953;0;9;5;3;1
3059;3;0;5;9;1
3095;3;0;9;5;1
3509;3;5;0;9;1
3590;3;5;9;0;1
3905;3;9;0;5;1
3950;3;9;5;0;1
5039;5;0;3;9;1
5093;5;0;9;3;1
5309;5;3;0;9;1
5390;5;3;9;0;1
5903;5;9;0;3;1
5930;5;9;3;0;1
9035;9;0;3;5;1
9053;9;0;5;3;1
9305;9;3;0;5;1
9350;9;3;5;0;1
9503;9;5;0;3;1
9530;9;5;3;0;1
0369;0;3;6;9;1
0396;0;3;9;6;1
0639;0;6;3;9;1
0693;0;6;9;3;1
0936;0;9;3;6;1
0963;0;9;6;3;1
3069;3;0;6;9;1
3096;3;0;9;6;1
3609;3;6;0;9;1
3690;3;6;9;0;1
3906;3;9;0;6;1
3960;3;9;6;0;1
6039;6;0;3;9;1
6093;6;0;9;3;1
6309;6;3;0;9;1
6390;6;3;9;0;1
6903;6;9;0;3;1
6930;6;9;3;0;1
9036;9;0;3;6;1
9063;9;0;6;3;1
9306;9;3;0;6;1
9360;9;3;6;0;1
9603;9;6;0;3;1
9630;9;6;3;0;1
0379;0;3;7;9;1
0397;0;3;9;7;1
0739;0;7;3;9;1
0793;0;7;9;3;1
0937;0;9;3;7;1
0973;0;9;7;3;1
3079;3;0;7;9;1
3097;3;0;9;7;1
3709;3;7;0;9;1
3790;3;7;9;0;1
3907;3;9;0;7;1
3970;3;9;7;0;1
7039;7;0;3;9;1
7093;7;0;9;3;1
7309;7;3;0;9;1
7390;7;3;9;0;1
7903;7;9;0;3;1
7930;7;9;3;0;1
9037;9;0;3;7;1
9073;9;0;7;3;1
9307;9;3;0;7;1
9370;9;3;7;0;1
9703;9;7;0;3;1
9730;9;7;3;0;1
0389;0;3;8;9;1
0398;0;3;9;8;1
0839;0;8;3;9;1
0893;0;8;9;3;1
0938;0;9;3;8;1
0983;0;9;8;3;1
3089;3;0;8;9;1
3098;3;0;9;8;1
3809;3;8;0;9;1
3890;3;8;9;0;1
3908;3;9;0;8;1
3980;3;9;8;0;1
8039;8;0;3;9;1
8093;8;0;9;3;1
8309;8;3;0;9;1
8390;8;3;9;0;1
8903;8;9;0;3;1
8930;8;9;3;0;1
9038;9;0;3;8;1
9083;9;0;8;3;1
9308;9;3;0;8;1
9380;9;3;8;0;1
9803;9;8;0;3;1
9830;9;8;3;0;1
0459;0;4;5;9;1
0495;0;4;9;5;1
0549;0;5;4;9;1
0594;0;5;9;4;1
0945;0;9;4;5;1
0954;0;9;5;4;1
4059;4;0;5;9;1
4095;4;0;9;5;1
4509;4;5;0;9;1
4590;4;5;9;0;1
4905;4;9;0;5;1
4950;4;9;5;0;1
5049;5;0;4;9;1
5094;5;0;9;4;1
5409;5;4;0;9;1
5490;5;4;9;0;1
5904;5;9;0;4;1
5940;5;9;4;0;1
9045;9;0;4;5;1
9054;9;0;5;4;1
9405;9;4;0;5;1
9450;9;4;5;0;1
9504;9;5;0;4;1
9540;9;5;4;0;1
0469;0;4;6;9;1
0496;0;4;9;6;1
0649;0;6;4;9;1
0694;0;6;9;4;1
0946;0;9;4;6;1
0964;0;9;6;4;1
4069;4;0;6;9;1
4096;4;0;9;6;1
4609;4;6;0;9;1
4690;4;6;9;0;1
4906;4;9;0;6;1
4960;4;9;6;0;1
6049;6;0;4;9;1
6094;6;0;9;4;1
6409;6;4;0;9;1
6490;6;4;9;0;1
6904;6;9;0;4;1
6940;6;9;4;0;1
9046;9;0;4;6;1
9064;9;0;6;4;1
9406;9;4;0;6;1
9460;9;4;6;0;1
9604;9;6;0;4;1
9640;9;6;4;0;1
0479;0;4;7;9;1
0497;0;4;9;7;1
0749;0;7;4;9;1
0794;0;7;9;4;1
0947;0;9;4;7;1
0974;0;9;7;4;1
4079;4;0;7;9;1
4097;4;0;9;7;1
4709;4;7;0;9;1
4790;4;7;9;0;1
4907;4;9;0;7;1
4970;4;9;7;0;1
7049;7;0;4;9;1
7094;7;0;9;4;1
7409;7;4;0;9;1
7490;7;4;9;0;1
7904;7;9;0;4;1
7940;7;9;4;0;1
9047;9;0;4;7;1
9074;9;0;7;4;1
9407;9;4;0;7;1
9470;9;4;7;0;1
9704;9;7;0;4;1
9740;9;7;4;0;1
0489;0;4;8;9;1
0498;0;4;9;8;1
0849;0;8;4;9;1
0894;0;8;9;4;1
0948;0;9;4;8;1
0984;0;9;8;4;1
4089;4;0;8;9;1
4098;4;0;9;8;1
4809;4;8;0;9;1
4890;4;8;9;0;1
4908;4;9;0;8;1
4980;4;9;8;0;1
8049;8;0;4;9;1
8094;8;0;9;4;1
8409;8;4;0;9;1
8490;8;4;9;0;1
8904;8;9;0;4;1
8940;8;9;4;0;1
9048;9;0;4;8;1
9084;9;0;8;4;1
9408;9;4;0;8;1
9480;9;4;8;0;1
9804;9;8;0;4;1
9840;9;8;4;0;1
